Building Address	Year Built	analysis_neighborhood	supervisor_district
650 HARRISON ST	1940	Financial District/South Beach	6
235 MONTGOMERY ST	1927	Financial District/South Beach	3
3600 GEARY BLVD	1923	Presidio Heights	2
53 BLUXOME ST	1917	South of Market	6
150 GREEN ST	1919	Financial District/South Beach	3
125 MASON ST	NA	Tenderloin	5
352 OCEAN AVE	1921	Outer Mission	11
505 SANSOME ST	1981	Chinatown	3
2000 BROADWAY	1974	Pacific Heights	2
640 TEXAS ST	2006	Potrero Hill	10
25 14TH ST	1924	Mission	9
1278 INDIANA ST	2004	Potrero Hill	10
1095 MARKET ST	1905	South of Market	6
1301 POST ST	1993	Western Addition	2
645 HOWARD ST	2010	Financial District/South Beach	6
5815 3RD ST	1925	Bayview Hunters Point	10
658 MISSION ST	1906	Financial District/South Beach	6
1300 BRYANT ST	1962	Mission	6
2395 Golden Gate Ave	1921	Lone Mountain/USF	1
101 CRESCENT WAY	2001	Bayview Hunters Point	10
825 HOWARD ST	1971	South of Market	6
620 4TH ST	1907	South of Market	6
445 HAMPSHIRE ST	1924	Mission	9
1409 SUTTER ST	1881	Western Addition	2
256 FRONT ST	2000	Financial District/South Beach	3
2000 VAN NESS AVE	1909	Russian Hill	3
501 1ST ST	1990	Financial District/South Beach	6
5 EMBARCADERO CENTER	1972	Financial District/South Beach	3
181 Sanchez St	2017	Castro/Upper Market	8
425 BRANNAN ST	1924	South of Market	6
1870 JACKSON ST	1930	Pacific Heights	2
184 Hooper St	2008	Mission Bay	6
1070 GREEN ST	1961	Russian Hill	3
900 Front St	1973	Financial District/South Beach	3
100 HARRISON ST	1942	Financial District/South Beach	6
730 POLK ST	1922	Tenderloin	5
1095 Hyde	1961	Nob Hill	3
507 POLK ST	1910	Tenderloin	5
1315 EGBERT AVE	1985	Bayview Hunters Point	10
3250 VAN NESS AVE	0	Russian Hill	2
1501 SUTTER ST	1920	Japantown	5
201 ALABAMA ST	0	Mission	9
417 31ST AVE	1922	Outer Richmond	1
1683 GALVEZ AVE	1993	Bayview Hunters Point	10
470 COLUMBUS AVE	1936	North Beach	3
415 OFARRELL ST	1908	Tenderloin	5
201 FILBERT ST	1984	North Beach	3
1090 EDDY ST	1929	Western Addition	2
901 CALIFORNIA ST	1971	Nob Hill	3
50 PIER SHED C	1900	Mission Bay	6
415 MISSION ST	2018	Financial District/South Beach	6
139 TOWNSEND ST	1909	Mission Bay	6
1400 16TH ST	1938	Mission Bay	6
1675 HOWARD ST	1905	Mission	6
633 HOWARD ST	1910	Financial District/South Beach	6
3840 18TH ST	NA	Castro/Upper Market	8
700 TOLAND ST.	1968	Bayview Hunters Point	10
1369 HYDE ST	1911	Russian Hill	3
2 HENRY ADAMS ST	1915	Mission Bay	6
2550 VAN NESS AVE	1959	Russian Hill	3
3101 3RD ST	1985	Bayview Hunters Point	10
1600 TENNESSEE ST	1965	Bayview Hunters Point	10
199 NEW MONTGOMERY ST	2004	Financial District/South Beach	6
2130 POST ST	1969	Japantown	5
101 HARRISON ST	1996	Financial District/South Beach	6
240 KEARNY ST	1906	Financial District/South Beach	3
601 GRANT AVE	1907	Chinatown	3
270 5TH ST	2012	South of Market	6
1100 OAK ST	1983	Hayes Valley	5
847 SANSOME ST	1983	North Beach	3
2900 ALEMANY BLVD	1961	Outer Mission	11
1800 SUTTER ST	1975	Pacific Heights	5
2 EMBARCADERO CENTER	1974	Financial District/South Beach	3
388 Market Street	1987	Financial District/South Beach	3
639 GEARY ST	NA	Tenderloin	5
149 9TH ST	1923	South of Market	6
212 STOCKTON ST	1987	Financial District/South Beach	3
1073 MARKET ST	1913	South of Market	6
343 SANSOME ST	1991	Financial District/South Beach	3
281 Masonic Ave	1911	Lone Mountain/USF	1
130 BUSH ST	1910	Financial District/South Beach	3
1083 MARKET ST	1912	South of Market	6
1878 HAIGHT ST.	1961	Haight Ashbury	5
1219 HARRISON ST	2004	South of Market	6
255 BERRY ST	2004	Mission Bay	6
201 6TH ST	1907	South of Market	6
848 Kearny St	2005	Chinatown	3
442 POST ST	1925	Nob Hill	3
410 BUSH ST	1915	Financial District/South Beach	3
2850 ALEMANY BLVD	0	Outer Mission	11
340 STOCKTON ST	1984	Financial District/South Beach	3
10 GEARY ST	1907	Financial District/South Beach	3
1355 FAIRFAX AVE	1987	Bayview Hunters Point	10
132 GEARY ST	1908	Financial District/South Beach	3
790 ELLIS ST	0	Tenderloin	5
550 3RD ST	1921	South of Market	6
4840 MISSION ST	1925	Outer Mission	11
750 BATTERY ST	1986	Financial District/South Beach	3
3050 23RD ST	1964	Mission	9
139 LAKE MERCED BLVD	1975	Lakeshore	7
455 MARKET ST	1900	Financial District/South Beach	6
1585 FOLSOM ST	1926	Mission	6
8 MISSION ST	2004	Financial District/South Beach	3
1745 FOLSOM ST	1942	Mission	9
301 KING ST	2006	Mission Bay	6
2051 3rd Street	2017	Potrero Hill	10
205 2ND ST	1906	Financial District/South Beach	6
325 CHINA BASIN ST	2008	Mission Bay	6
1500 OWENS ST	2009	Mission Bay	6
1333 Bush St	NA	Nob Hill	3
530 BUSH ST	1982	Financial District/South Beach	3
900 KEARNY ST	1989	Chinatown	3
529 COMMERCIAL ST	0	Chinatown	3
400 FONT BLVD	1942	Lakeshore	7
5880 3rd Street	NA	Bayview Hunters Point	10
750 MARKET ST	1908	Financial District/South Beach	3
1230 MARKET ST	1907	Tenderloin	6
670 Natoma St	2002	South of Market	6
2120 Polk St	1928	Russian Hill	3
455 9TH ST	1924	South of Market	6
1751 CARROLL AVE	NA	Bayview Hunters Point	10
255 King St	NA	Mission Bay	6
1595 VAN NESS AVE	1913	Western Addition	2
345 CALIFORNIA ST	1987	Financial District/South Beach	3
690 POTRERO AVE	1932	Mission	9
350 BRANNAN ST	1929	Financial District/South Beach	6
888 O'FARRELL ST	1988	Tenderloin	5
1340 LOMBARD ST	1927	Russian Hill	3
666 VALENCIA ST	NA	Mission	9
660 CALIFORNIA ST	1966	Chinatown	3
1300 COLUMBUS AVE	1970	North Beach	3
1160 BATTERY ST	1982	Financial District/South Beach	3
1200 MISSISSIPPI ST	1986	Bayview Hunters Point	10
2600 16TH ST	2001	Mission	9
525 HARRISON ST	1982	Financial District/South Beach	6
706 MISSION ST	1906	Financial District/South Beach	6
